Trigger Time,Type,Sigma,Normalised Duration,Max Count,source
1043603162,,-1.0,,-1.0,integral
1043603671,,-1.0,,-1.0,integral
1043612378,,-1.0,,-1.0,integral
1043614513,,-1.0,,-1.0,integral
1043614679,,-1.0,,-1.0,integral
1043615306,,-1.0,,-1.0,integral
1043618566,,-1.0,,-1.0,integral
1043618683,,-1.0,,-1.0,integral
1043618866,,-1.0,,-1.0,integral
1043619108,,-1.0,,-1.0,integral
1043619225,,-1.0,,-1.0,integral
1043619312,,-1.0,,-1.0,integral
1043619327,,-1.0,,-1.0,integral
1043619337,,-1.0,,-1.0,integral
1043619436,,-1.0,,-1.0,integral
1043619465,,-1.0,,-1.0,integral
1043628343,,-1.0,,-1.0,integral
1043629831,,-1.0,,-1.0,integral
1043639105,,-1.0,,-1.0,integral
1043644494,,-1.0,,-1.0,integral
1043650596,,-1.0,,-1.0,integral
1043654345,,-1.0,,-1.0,integral
1043670752,,-1.0,,-1.0,integral
1043698629,,-1.0,,-1.0,integral
1043717926,,-1.0,,-1.0,integral
1043737464,,-1.0,,-1.0,integral
1043743658,,-1.0,,-1.0,integral
1043746369,,-1.0,,-1.0,integral
1043747293,,-1.0,,-1.0,integral
1043753652,,-1.0,,-1.0,integral
1043760004,,-1.0,,-1.0,integral
1043763982,,-1.0,,-1.0,integral
1043838968,,-1.0,,-1.0,integral
1043862994,,-1.0,,-1.0,integral
1043863119,,-1.0,,-1.0,integral
1043863793,,-1.0,,-1.0,integral
1043864357,,-1.0,,-1.0,integral
1043864914,,-1.0,,-1.0,integral
1043866208,,-1.0,,-1.0,integral
1043866384,,-1.0,,-1.0,integral
1043866403,,-1.0,,-1.0,integral
1043866591,,-1.0,,-1.0,integral
1043866722,,-1.0,,-1.0,integral
1043866727,,-1.0,,-1.0,integral
1043866754,,-1.0,,-1.0,integral
1043867168,,-1.0,,-1.0,integral
1043867287,,-1.0,,-1.0,integral
1043867303,,-1.0,,-1.0,integral
1043867311,,-1.0,,-1.0,integral
1043870688,,-1.0,,-1.0,integral
1043871107,,-1.0,,-1.0,integral
1043871374,,-1.0,,-1.0,integral
1043871598,,-1.0,,-1.0,integral
1043871996,,-1.0,,-1.0,integral
1043872119,,-1.0,,-1.0,integral
1043872129,,-1.0,,-1.0,integral
