name,ra,dec,lii,bii,error_radius,time,end_time,Trigger Time,trigger_type,reliability,trigger_timescale,trigger_algorithm,channel_low,channel_high,adc_low,adc_high,detector_mask,geo_long,geo_lat,ra_scx,dec_scx,ra_scz,dec_scz,theta,phi,localization_source
TGF230103836,145.7333,-72.6833,289.8938,-14.7781,33.6333,1672772474.298263,1672773088.712271,1672772612.749252,TGF,1.0,16,116,5,7,1353,4095,10100000010,15.0667,0.2667,281.8739,-20.1822,32.3919,-43.6379,55.0,81.0,"Fermi, GBM FSW"
TGF111119856,264.5833,-72.4,320.7824,-20.5025,32.4667,1321730991.708581,1321731606.117962,1321731124.318564,TGF,1.0,16,117,5,7,1353,4095,10100000000010,111.867,-6.683,246.5154,-6.5747,148.6775,-49.7963,50.0,301.0,"Fermi, GBM FSW"
TGF111121780,212.4,-72.25,308.8804,-10.287,33.5667,1321897258.929491,1321897873.338792,1321897394.147466,TGF,1.0,16,119,5,7,1353,4095,11,136.783,-0.767,201.2582,20.0073,91.314,43.1312,140.0,265.9833,"Fermi, GBM FSW"
TGF120827282,331.2167,-72.1167,318.3013,-39.6568,30.7,1346042620.730947,1346043235.140932,1346042753.036888,TGF,1.0,16,118,5,7,1353,4095,1100001,137.6,-1.533,142.5961,35.2522,187.2736,-45.1733,60.0,157.0,"Fermi, GBM FSW"
TGF180923900,87.8833,-72.0,282.7012,-30.3139,15.3667,1537731261.69624,1537731761.417931,1537731392.818683,TGF,1.0,16,119,5,7,1353,4095,11,280.1667,9.3833,183.743,3.442,278.2426,52.5238,160.0,105.0,"Fermi, GBM FSW"
TGF190508107,207.2333,-71.8833,307.4211,-9.5145,24.55,1557275530.444421,1557276144.853923,1557275665.790378,TGF,1.0,16,119,5,7,1353,4095,11,112.3667,13.1833,54.7688,55.8222,36.9877,-32.8865,75.0,193.0,"Fermi, GBM FSW"
TGF110212898,31.9167,-71.65,294.683,-44.237,30.85,1297542639.320259,1297542901.468304,1297542770.730168,TGF,1.0,16,119,5,7,1353,4095,11,290.033,2.783,337.1613,-2.5911999999999997,64.4642,46.1167,120.0,75.0,"Fermi, GBM FSW"
TGF111126752,357.3,-71.35,309.8908,-44.9279,32.5167,1322326821.724686,1322327436.134429,1322326957.790776,TGF,1.0,16,118,5,7,1353,4095,11001,115.883,2.733,235.7843,-27.939,118.1716,-41.1517,60.0,290.0,"Fermi, GBM FSW"
TGF200221697,66.9167,-71.2667,283.9725,-36.8415,31.7833,1582299698.293859,1582300312.705453,1582299835.624355,TGF,1.0,16,116,5,7,1353,4095,11001101000011,83.05,-20.0833,333.8813,-16.3381,178.1376,-72.176,30.0,300.0,"Fermi, GBM FSW"
TGF170717676,225.2167,-71.1667,313.0651,-10.8874,32.0833,1500300648.706426,1500301263.116169,1500300780.964449,TGF,1.0,16,116,5,7,1353,4095,1000000010111,95.3667,22.8333,173.2801,-2.2983000000000002,264.4134,-26.2354,50.0,72.0,"Fermi, GBM FSW"
TGF210628068,58.1167,-71.1333,285.6531,-39.3511,15.9,1624836938.515887,1624837184.279993,1624837074.438143,TGF,1.0,16,43,5,7,1353,4095,100010000000,272.3167,13.0,99.2783,28.8333,245.4681,56.4731,165.0,160.0,"Fermi, GBM FSW"
TGF120708971,93.6,-71.1,281.5907,-28.5409,33.7167,1341782137.814239,1341782752.221246,1341782273.975641,TGF,1.0,16,116,5,7,1353,4095,100000010011,140.033,20.6,118.5614,0.9299,26.4041,66.6746,145.0,299.0,"Fermi, GBM FSW"
TGF200312245,13.9833,-71.0,302.4041,-46.1236,34.4833,1583988659.290038,1583989273.700666,1583988797.292267,TGF,1.0,16,118,5,7,1353,4095,110001,115.15,-12.8667,342.0566,16.2788,46.0762,-56.312,20.0,90.0,"Fermi, GBM FSW"
TGF170130027,92.05,-71.0,281.4757,-29.0441,32.6167,1485733026.619224,1485733641.030014,1485733160.637487,TGF,1.0,16,119,5,7,1353,4095,11,32.5,-20.5167,316.1608,-9.7659,203.049,-66.3233,35.0,263.0,"Fermi, GBM FSW"
TGF110929614,80.6167,-70.9833,281.9194,-32.743,36.95,1317300128.481209,1317300742.890349,1317300261.651076,TGF,1.0,16,119,5,7,1353,4095,11,184.833,-23.417,184.9262,-4.8627,80.6258,-70.9952,0.0,0.0,"Fermi, GBM FSW"
TGF110928729,186.7667,-70.9167,300.923,-8.1401,31.7,1317223650.141294,1317224264.551641,1317223785.311432,TGF,1.0,16,119,5,7,1353,4095,11,22.017,6.083,201.4429,23.4921,321.6647,49.1889,150.0,100.0,"Fermi, GBM FSW"
TGF171124565,152.8167,-70.8667,290.4834,-11.9743,27.4167,1511526714.840133,1511527329.251768,1511526847.642511,TGF,1.0,16,116,5,7,1353,4095,100010010,108.6667,10.8833,257.0276,-48.2989,37.7921,-34.6106,65.0,44.0,"Fermi, GBM FSW"
TGF110918187,101.25,-70.7,281.3621,-26.0159,30.0333,1316312862.405574,1316313419.470869,1316312997.127797,TGF,1.0,16,119,5,7,1353,4095,11,284.967,11.967,208.4981,-36.5919,328.5555,-34.0043,70.0,59.0,"Fermi, GBM FSW"
TGF210214860,106.3833,-70.6833,281.6851,-24.3443,36.95,1613331352.806482,1613331967.220369,1613331485.097335,TGF,1.0,16,119,5,7,1353,4095,11,37.75,-23.0333,329.1386,-14.4238,106.3987,-70.6999,0.0,0.0,"Fermi, GBM FSW"
TGF190517095,246.7333,-70.5667,319.0702,-14.7992,26.3,1558052093.110035,1558052707.519014,1558052226.247837,TGF,1.0,16,119,5,7,1353,4095,11,89.6,24.4167,76.3438,34.1371,4.9291,-25.1775,75.0,214.0,"Fermi, GBM FSW"
TGF170509445,153.75,-70.45,290.4943,-11.4556,17.2167,1494319130.80038,1494319745.209721,1494319263.92241,TGF,1.0,16,118,5,7,1353,4095,10001101,270.3333,13.75,43.6964,24.8412,266.5116,57.7443,150.0,180.0,"Fermi, GBM FSW"
TGF120818925,125.3833,-70.4,283.875,-18.3728,26.45,1345320612.445991,1345321226.856016,1345320745.616059,TGF,1.0,16,119,5,7,1353,4095,11,281.3,19.05,146.6948,8.4312,254.451,64.079,160.0,60.0,"Fermi, GBM FSW"
TGF131017410,102.2667,-70.0167,280.6698,-25.574,26.4167,1381996074.46399,1381996688.873452,1381996208.161917,TGF,1.0,16,116,5,7,1353,4095,1100001000011,72.6333,13.8833,161.4117,33.1454,226.8082,-32.5196,70.0,113.0,"Fermi, GBM FSW"
TGF211106744,253.233,-70.0,320.9615,-16.1414,34.6833,1636217327.458245,1636217941.869316,1636217463.540588,TGF,1.0,16,119,5,7,1353,4095,11,303.5833,6.05,195.5901,4.4448,282.0487,-38.4723,34.9921,78.9747,"Fermi, GBM"
TGF161104977,172.4333,-69.9167,295.9783,-8.1557,34.4,1478298281.440821,1478298895.851007,1478298414.642915,TGF,1.0,16,119,5,7,1353,4095,11,68.95,7.6167,227.4488,-10.7574,129.1827,-37.116,40.0,305.0,"Fermi, GBM FSW"
TGF150714960,57.6833,-69.5,284.0151,-40.4042,25.1833,1436907569.47795,1436908183.887975,1436907703.608102,TGF,1.0,16,119,5,7,1353,4095,11,346.9833,10.0667,151.2712,-2.3675,242.9557,-35.4124,75.0,89.0,"Fermi, GBM FSW"
TGF100928901,242.2833,-69.4167,318.8315,-12.906,25.4333,1285702499.47966,1285703113.889243,1285702638.329722,TGF,1.0,16,116,5,7,1353,4095,100001000011,117.783,10.917,197.2944,6.14,111.5431,-34.5548,70.0,279.0,"Fermi, GBM FSW"
TGF171119681,352.75,-69.15,313.1438,-46.3508,20.2833,1511104670.713149,1511105285.124099,1511104806.363469,TGF,1.0,16,50,4,7,497,4095,11000000000,117.0333,15.5667,214.035,-49.2309,79.5772,-31.1276,60.0,308.0,"Fermi, GBM FSW"
TGF121012241,86.9333,-69.0333,279.2971,-30.8757,26.4333,1350013501.691173,1350014116.100554,1350013633.933023,TGF,1.0,16,118,5,7,1353,4095,11001001,91.333,22.9,235.8629,54.5554,189.527,-26.1728,70.0,183.0,"Fermi, GBM FSW"
TGF170424681,198.1,-68.8,304.8352,-6.0058,31.0667,1493043538.99413,1493044112.443967,1493043670.612326,TGF,1.0,16,116,5,7,1353,4095,1101000010,107.6167,-8.4,53.2166,-22.7924,175.5956,-51.8797,20.0,75.0,"Fermi, GBM FSW"
TGF150209374,288.3167,-68.6,327.0106,-27.0926,34.9,1423468615.58543,1423469229.995334,1423468753.091544,TGF,1.0,16,119,5,7,1353,4095,11,344.3833,2.5333,334.5386,-7.6942,239.5446,-32.7953,45.0,302.0,"Fermi, GBM FSW"
TGF160711992,133.383,-68.4167,283.7871,-14.9357,34.4333,1468273539.330961,1468274153.740382,1468273677.972896,TGF,1.0,16,119,5,7,1353,4095,11,281.5333,20.3667,99.7687,-5.0468,178.1703,66.2863,138.256,54.4427,"Fermi, GBM"
TGF190515435,171.5833,-68.35,295.1841,-6.7679,27.2667,1557908635.130203,1557909249.539021,1557908772.748044,TGF,1.0,16,119,5,7,1353,4095,11,287.6833,9.1833,50.8661,18.9627,318.3798,7.1957,115.0,238.0,"Fermi, GBM FSW"
