Top,Flux,Region,Start,Trigger Time,Links,
50,M4.33,8771,943486020,943486620,943487040,https://www.spaceweatherlive.com/en/archive/1999/11/24/xray.html
1,X8.21,9077,963568980,963570240,963571380,https://www.spaceweatherlive.com/en/archive/2000/07/14/xray.html
2,X5.83,9236,975256440,975257280,975257760,https://www.spaceweatherlive.com/en/archive/2000/11/26/xray.html
3,X3.4,9236,975077460,975078780,975079260,https://www.spaceweatherlive.com/en/archive/2000/11/24/xray.html
4,X3.31,9026,960303480,960305100,960306000,https://www.spaceweatherlive.com/en/archive/2000/06/06/xray.html
5,X2.87,9236,975041700,975042120,975042480,https://www.spaceweatherlive.com/en/archive/2000/11/24/xray.html
6,X2.81,9236,975177180,975177840,975178500,https://www.spaceweatherlive.com/en/archive/2000/11/25/xray.html
7,X2.81,9077,963397080,963398220,963398760,https://www.spaceweatherlive.com/en/archive/2000/07/12/xray.html
8,X2.71,9236,975102180,975103140,975103920,https://www.spaceweatherlive.com/en/archive/2000/11/24/xray.html
9,X2.61,8910,953883660,953884320,953884740,https://www.spaceweatherlive.com/en/archive/2000/03/24/xray.html
10,X1.84,9169,970355580,970356060,970356480,https://www.spaceweatherlive.com/en/archive/2000/09/30/xray.html
11,X1.79,9026,960392040,960393180,960393960,https://www.spaceweatherlive.com/en/archive/2000/06/07/xray.html
12,X1.74,8858,949778220,949778880,949779060,https://www.spaceweatherlive.com/en/archive/2000/02/05/xray.html
13,X1.7,9026,960298200,960298740,960299160,https://www.spaceweatherlive.com/en/archive/2000/06/06/xray.html
14,X1.63,8882,951985200,951985680,951985860,https://www.spaceweatherlive.com/en/archive/2000/03/02/xray.html
15,X1.56,8910,953750040,953750880,953751360,https://www.spaceweatherlive.com/en/archive/2000/03/22/xray.html
16,X1.51,9077,963317520,963321000,963322500,https://www.spaceweatherlive.com/en/archive/2000/07/11/xray.html
17,X1.44,9033,961293120,961293540,961293780,https://www.spaceweatherlive.com/en/archive/2000/06/18/xray.html
18,X1.18,9240,975113940,975115860,975117660,https://www.spaceweatherlive.com/en/archive/2000/11/25/xray.html
19,X1.15,9097,964492980,964493340,964493640,https://www.spaceweatherlive.com/en/archive/2000/07/25/xray.html
20,X1.09,9026,959971680,959974680,959975400,https://www.spaceweatherlive.com/en/archive/2000/06/02/xray.html
21,X1.07,9213,973723320,973726080,973641900,https://www.spaceweatherlive.com/en/archive/2000/11/08/xray.html
22,X1.02,9026,960299760,960300060,960300660,https://www.spaceweatherlive.com/en/archive/2000/06/06/xray.html
23,M9.79,8970,957437820,957438480,957438840,https://www.spaceweatherlive.com/en/archive/2000/05/04/xray.html
24,M9.29,8882,952004100,952004580,952004880,https://www.spaceweatherlive.com/en/archive/2000/03/02/xray.html
25,M9.23,9087,963989100,963991560,963993000,https://www.spaceweatherlive.com/en/archive/2000/07/19/xray.html
26,M8.81,9026,960059580,960060240,960060720,https://www.spaceweatherlive.com/en/archive/2000/06/03/xray.html
27,M8.43,9165,969077160,969078360,969079680,https://www.spaceweatherlive.com/en/archive/2000/09/16/xray.html
28,M8.27,9077,963263100,963265320,963268020,https://www.spaceweatherlive.com/en/archive/2000/07/10/xray.html
29,M8.2,9070,963427260,963427740,963428820,https://www.spaceweatherlive.com/en/archive/2000/07/12/xray.html
