GRB Name;Trigger Time;BAT Ra;BAT Dec;BAT T90;BAT Fluence;XRTSpectral Index;Ra;Dec;Normalised Duration;source
130716A;1373963813.0;179.58111:58:19.4;63.05763:03:25.2;;;;179.701;63.688;;swift
130708A;1373276583.0;17.47401:09:53.8;0.00300:00:10.8;9;78+/-18;;17.486;0.003;9;swift
130702A;1372716323.0;218.814:35:12;12.2512:15:00;;;1.98886;218.946;12.373;;swift
130701A;1372645063.0;357.22423:48:53.8;36.10036:06:00;4.38;44+/-1;1.9213;357.462;36.461;4.38;swift
130627B;1372327250.0;181.91412:07:39.4;-55.706-55:42:21.6;28.6;6.1+/-0.8;;182.035;-56.263;28.6;swift
130627A;1372316103.0;184.41512:17:39.6;-37.114-37:06:50.4;30.8;9.1+/-1.9;2.39584;184.538;-37.485;30.8;swift
130626A;1372236663.0;273.12818:12:30.7;-9.525-09:31:30;0.16;0.52+/-0.08;;273.31;-9.62;0.16;swift
130625A;1372136439.0;343.33622:53:20.6;82.17182:10:15.6;38.1;18+/-1;2.2062;343.565;82.993;38.1;swift
130623A;1371980564.0;20.72301:22:53.5;-77.784-77:47:02.4;15;5.4+/-1.1;;20.737;-78.562;15;swift
130615A;1371282285.0;274.96318:19:51.1;-68.161-68:09:39.6;304;21+/-3;2.07759;275.146;-68.843;304;swift
130612A;1371000142.0;259.77117:19:05;16.72916:43:44.4;4.0;2.3+/-0.5;2.18734;259.944;16.896;4.0;swift
130610A;1370826733.0;224.41414:57:39.4;28.18728:11:13.2;46.4;25+/-1;2.04497;224.564;28.469;46.4;swift
130609B;1370806720.0;53.77603:35:06.2;-40.168-40:10:04.8;210.6;160;2.00555;53.812;-40.57;210.6;swift
130609A;1370739908.0;152.68010:10:43.2;24.12424:07:26.4;7.0;5.7+/-0.4;2.72407;152.782;24.365;7.0;swift
130608A;1370726061.0;24.59701:38:23.3;41.49241:29:31.2;151.38;9.0+/-1.9;2.38733;24.613;41.907;151.38;swift
130606B;1370472491.0;292.1819:28:43.2;-24.86-24:51:36;;;2.43651;292.375;-25.109;;swift
130606A;1370545479.0;249.39016:37:33.6;29.79629:47:45.6;276.58;29+/-2;1.86465;249.556;30.094;276.58;swift
130605A;1370468502.0;134.53608:58:08.6;-33.477-33:28:37.2;12.6;26+/-3;1.3888;134.626;-33.812;12.6;swift
130604A;1370321666.0;250.16616:40:39.8;68.22568:13:30;37.7;14+/-1;2.08823;250.333;68.907;37.7;swift
130603B;1370267354.0;172.22211:28:53.3;17.06317:03:46.8;0.18;6.3+/-0.3;2.20112;172.337;17.234;0.18;swift
130603A;1370231972.0;86.85905:47:26.2;82.91082:54:36;76;19+/-1;2.32319;86.917;83.739;76;swift
130529A;1369818925.0;24.27401:37:05.8;-64.143-64:08:34.8;128;14+/-2;1.32001;24.29;-64.784;128;swift
130528A;1369752083.0;139.40509:17:37.2;87.30087:18:00;59.4;51+/-2;1.91315;139.498;88.173;59.4;swift
130527A;1369657290.0;309.28220:37:07.7;-24.726-24:43:33.6;44;120+/-4;1.66746;309.488;-24.973;44;swift
130521A;1369169356.0;87.56805:50:16.3;14.47014:28:12;11.0;4.2+/-0.5;;87.626;14.615;11.0;swift
130518B;1368867038.0;321.55521:26:13.2;-20.148-20:08:52.8;;8.0;;321.769;-20.349;;swift
130518A;1368878107.0;355.67123:42:41;47.47847:28:40.8;;;1.96017;355.908;47.953;;swift
130515A;1368573677.0;283.43618:53:44.6;-54.283-54:16:58.8;0.29;1.5+/-0.2;;283.625;-54.826;0.29;swift
130514B;1368530792.0;147.60409:50:25;-18.969-18:58:08.4;;8.8+/-0.6;2.17334;147.702;-19.159;;swift
130514A;1368508421.0;296.27819:45:06.7;-7.974-07:58:26.4;204;91+/-2;2.0604;296.476;-8.054;204;swift
130513A;1368423480.0;144.7752509:39:06.1;-5.24393-05:14:38.1;;;2.9;144.872;-5.296;;swift
130511A;1368264647.0;196.65413:06:37;18.70918:42:32.4;5.43;2.2+/-0.4;2.06879;196.785;18.896;5.43;swift
130508A;1368025733.0;305.35120:21:24.2;34.96634:57:57.6;42;6.6+/-1.0;1.04958;305.555;35.316;42;swift
130505A;1367734948.0;137.06009:08:14.4;17.48517:29:06;88;210+/-10;1.92439;137.151;17.66;88;swift
130504C;1367703015.0;91.71506:06:51.6;3.84603:50:45.6;;;1.83931;91.776;3.884;;swift
